context,response,score
안녕,"안녕하세요, 기분이 좋지 않으신가요? 이야기해보세요, 제가 들어줄게요.",0
사는 게 쉽지가 않다,제가 이해해요. 삶의 어려움에 노력하시면서 적극적으로 대처하시는 것이 중요해요. 하루 한 걸음씩 나아가는 자신을 믿어봐요.,0
여기에서 더 어떻게 노력해야될까,"불안감과 우울감을 느낄 때는, 자신을 위한 시간을 가지는 것이 중요합니다. 일상에서 조금씩 취미생활을 추가하고 외출을 하며 새로운 경험을 쌓는 것도 큰 도움이 될 것입니다. 또한, 생각 정리나 문제 해결에 도움이 되는 명상이나 힐링 컨텐츠를 시도해보시는 것도 좋을 것 같아요. 그리고 만약 더 어려움이 있을 경우에는 전문가의 도움도 받는 것이 좋습니다.",0
돈도 없는데 취미생활은 나한테 사치야 바빠서 명상할 시간이 있을지도 모르겠다,"돈이 없다면, 무료로 즐길 수 있는 취미생활을 찾는 것이 좋겠죠. 예를 들면, 한강 자전거 타기, 공원에서 산책하기, 가벼운 스트레칭을 하거나 요가를 시도해 보는 것 등이 있을 수 있습니다. 또한, 명상은 전문가의 코칭 없이도 간단히 시도할 수 있는 다양한 어플리케이션이나 유튜브 강좌를 활용해볼 수 있습니다. 중요한 것은 스트레스를 해소하는데 도움이 되는 취미나 활동을 찾아 삶의 질을 높여보는 것입니다.",0
해보기는 할게,"그렇다면 좋은 선택입니다. 자신에게 맞는 취미나 힐링 방법을 찾으시면서 즐겁게 활동해보세요. 하루에 조금씩 시간을 내어 지속적으로 실천하는 것이 중요합니다. 느리게라도 꾸준하게 나아가며, 자신에게 친절한 마음으로 대해주시면 좋은 결과를 얻으실 수 있을 거에요. 언제든지 도움이 필요하시면 연락주세요. 함께 응원해드릴게요.",0
하이,"안녕하세요. 기분이 좋지 않으신가요? 이야기 해주세요, 제가 들어줄게요.",1
요즘 삶이 막막해,그렇군요. 삶이 막막할 때는 조금씩 작은 변화를 만들어보는 것이 좋아요. 무엇을 바꿀 수 있는지 생각해보세요. 그리고 그것을 조금씩 실행해보면서 기분이 좀 나아지지 않을까요? 함께 응원할게요.,1
뭘 바꿔야 돼?,"작은 것부터 시작해보세요. 일상에서 자주 하는 것을 바꿔보거나, 새로운 취미를 시작해보는 것도 좋은 방법입니다. 또한 정기적으로 운동을 하거나 건강한 식습관을 만들어보는 것도 기분을 전환하는 데 큰 도움이 됩니다. 이러한 것들이 기분에 조금씩 변화를 가져다줄 지도 모릅니다.",1
식욕도 없어,"식욕이 없을 때는 영양가가 높은 음식을 조금씩 먹는 것이 좋아요. 먹고자 하는 것이 없을 경우, 어떤 음식을 좋아하는지 생각하고 그것을 드셔보는 것도 좋습니다. 그리고 적절한 운동을 함께 하면 체력을 회복하는 데도 도움이 됩니다. 그러나 만약 식욕이 없는 것이 계속된다면 전문적인 상담을 받는 것이 좋습니다.",1
운동도 하기 귀찮아,"운동하기 귀찮은 기분도 이해해요. 하지만 운동은 체력 개선과 스트레스 해소 효과가 매우 좋아서, 기분이 탄력을 잃었을 때는 운동을 추천해드립니다. 운동을 하기 전에는 몸을 충분히 푸는 것이 중요하므로 느긋하게 준비해보세요. 또한 자신에게 맞는 운동을 찾은 다음 꾸준히 해보는 것도 어떨까요? 자신이 원하는 방향으로 안전하게 운동할 수 있는 전문가와 상담해보는 것도 좋을 거예요.",1
사람과 마주할 자신이 없어,"사람들과 마주할 수 없는 기분이 들 때는 천천히 자신의 마음을 다독이세요. 그리고 가벼운 활동을 하면서 사람들과 대화하거나, 꾸준히 사람을 만나는 연습을 해보세요. 작은 스텝이라도 꾸준히 이어가면서 자신감과 용기를 찾을 수 있을 거예요. 또한 배려 심한 친구나 가족에게 먼저 연락해보는 것도 좋겠네요. 그들은 언제나 당신의 곁에 있을 거예요.",1
나의 곁엔 아무도 없어,혼자 있는 기분이 드는 건 어렵고 외로운 상황이겠죠. 하지만 혼자 있을 때는 본인만의 시간과 공간을 즐기세요. 자신만의 취미생활이나 관심사를 찾아보며 시간을 보내는 것도 좋은 방법입니다. 또한 생각을 정리하면서 일기를 써보거나 독서를 하면서 여유를 가지는 것도 좋습니다. 그리고 향후 계획을 세우면서 새로운 취미나 약속을 만들어 가보세요. 미래에 대한 기대와 목표가 없으면 우울감이 더해질 수 있으니까요.,1
그냥 사라져 버리고 싶어,"저희가 함께할 수 있다는 점을 잊지 마시고, 이렇게 느끼는 건 정상적인 일입니다. 하지만 말씀하신 것처럼 사라져버리는 것은 해결책이 아니에요. 당신의 문제를 함께 해결해 나가기 위해 알맞은 전문가와 상담하는 것도 좋은 방법입니다. 그리고 가까운 도움이 필요하시다면 지인과 친구, 가족들과 개방적으로 대화해보는 것도 도움이 될 수 있습니다. 함께 문제를 해결하고 더 나은 삶을 만들기 위해 준비돼 있으니, 우리 함께 해볼까요?",1
난 비정상인데,"아뇨, 그런 말씀은 아닙니다. 정상과 비정상은 아니죠. 모든 사람은 각자의 스타일과 개성이 있고, 우리 모두가 서로 다른 상황과 어려움을 마주하며 살아가고 있습니다. 그래서 때로는 다른 사람들과 차이가 있거나 힘든 일을 겪을 때도 있지만 그것은 당연한 일입니다. 문제가 생길 때는 함께 대처하는 것이 중요하니까요. 미래를 위해 우리는 언제나 변화하면서 성장하고 있습니다.",1
그래 고맙다,별 말씀을요. 언제든지 같은 마음으로 당신 곁에 있을게요. 제가 도와줄 일이 있다면 언제든지 말씀해주세요.,1
얼마 전에 친구랑 싸웠는데 어떻게 해야 할까,"우선 싸움에 대한 원인을 파악하고, 직접적으로 이야기해보는 것이 좋습니다. 상대방의 상황과 감정을 고려하며 논리적인 대화를 시도해보세요. 때로는 친구와 서로 다른 의견일 수도 있습니다. 이해하고 넘어갈 수 있는 부분이 있다면 서로에게 묻고 답하며 어떻게 상호작용할지 대화하는 것도 좋은 방법입니다. 또한, 상호간의 타협점을 찾아가는 것이 소중한 관계를 유지하는데 중요한 요소 중 하나입니다. 적극적으로 대화하고, 서로의 의견에 존중하며 해결책을 찾을 수 있도록 노력해보세요.",1
직접적으로 이야기 하는 것은 무서워,"친구와의 대화는 언제나 쉽지 않을 수 있습니다. 하지만 대화가 어려워서 문제를 미루고 있다면 상황이 더 나빠질 가능성도 있습니다. 때로는 당황스러울 수 있는 상황이 발생할 수 있지만, 괜찮습니다. 대화는 당신이 도와줄 수 있는 가장 좋은 방법입니다. 먼저 직접적으로 이야기하려면 대화 전략을 강구해보세요. 어떤 말을 해야 상대방이 이해할 수 있을지 생각해보면서 말을 준비하는 것이 좋습니다. 상대방의 느낌이나 태도도 고려해보며 말할 때, 자신의 입장을 잘 전달해보세요. 대화를 하면서 서로에게 영향을 줄 수 있는 말과 행동을 자제하며 서로에게 이해와 존중을 표현해보세요.",1
알겠어,"좋아요! 대화는 서로에게 필요한 정보와 의견을 공유하며, 친밀감과 신뢰를 쌓는 데 큰 역할을 합니다. 친구와의 대화에서는 자신의 감정과 마음을 잘 전달하고 상대방의 반응을 항상 염두에 두며 이해하려 노력하는 것이 중요합니다. 대화를 통해 친구와의 관계가 더 성숙하고 건강적으로 발전할 수 있도록 노력해보세요.",1
"요즘 짜증이 너무 나고, 스트레스받아서 맨날 먹기만해. 요근래 몇키로나 찐지모르겟어","이런 날엔 스트레칭이나 운동도 하면서, 먹을거리를 조금 줄이면서 체중 관리도 할 수 있어요. 하지만 힘들때는 맘 편하게 친구들이나 가족들과 이야기 나누면서 스트레스를 푸는 것도 좋아요. 함께 해볼까요?",0
누구한테 얘기하기는 또 그래.. 괜히 분위기 초치거 같아,"그런 상황이라면 익명으로 이야기할 수 있는 곳이나 전문 상담센터를 찾아보는 것도 좋은 방법이에요. 일단 스트레스를 받고 있는 것이니 혼자 버텨내지 말고, 지금부터 해결하는 것이 더 중요해요. 함께 해보아요.",0
상담센터 가기에는 귀찮아,"걱정하지 마세요. 현재는 스마트폰으로도 온라인 상담이 가능한 경우가 많아졌답니다. 인터넷 검색을 통해 온라인 상담을 받을 수 있는 곳을 찾아보시면, 집에서도 편하게 자신의 마음을 이야기할 수 있어요. 상담은 문제를 함께 해결하기 위한 좋은 방법이니 꼭 시도해보시는 걸 추천드려요.",0
효과 있을까? 대화한다고 나아질까..? 나도 날 모르겠어,"상담은 당신의 내적인 고민을 풀어나가기 위한 좋은 도구입니다. 어떤 방식으로든, 스트레스를 해소하고 자신과 마음을 얘기할 수 있는 공간을 마련하는 것이 중요합니다. 상담 과정에서 함께 문제를 이해하고 분석하며, 다양한 관점으로 바라볼 수 있다는 장점이 있습니다. 또한, 상담을 통해 자신의 생각이나 감정을 표현하고 이해하는 방법을 배울 수 있기 때문에, 내적으로 나아지는 효과가 있을 수 있습니다. 함께 당신의 이야기를 들어드릴게요.",0
나도 아는데 그게 마음처럼 안돼,"마음이 바뀌지 않는다면 다른 방법을 시도해보는 것도 좋아요. 일상생활에서 조금씩 변화를 만들어가면서 스트레스를 조절하는 것도 좋은 방법 중 하나입니다. 예를 들면, 새로운 취미를 시작하거나, 산책이나 운동을 하며 스트레스를 발산해볼 수 있어요. 또한 사람들과 함께하는 시간을 늘리거나, 자연 속에서 조용한 시간을 가지면서 천천히 마음의 소리에 귀를 기울여보는 것도 도움이 되기도 합니다. 함께 변화를 만들어나갈까요?",0
취미로 할만한게 있을까 너무 무기력한데,"취미는 그저 즐기기 위한 것이기 때문에, 강제적으로 하려고 하면 오히려 스트레스가 증가할 수 있습니다. 그러므로 당신이 흥미를 가질 수 있는 활동을 찾아보는 것이 중요합니다. 예를 들어, 노래 부르기, 그림 그리기, 요리, 독서 등 다양한 활동들이 있어요. 작은 단위로 시작해서 조금씩 즐겁게 결과물을 만들어나갈 수 있도록 하세요. 취미는 자신감을 높여주기도 하고, 마음의 안정을 유지하는 데에도 도움이 되니까요. 조금씩 시작해보며, 함께 찾아볼까요?",0
그냥 침대에서 일어나고 싶지가 않아. 일어나면 또 먹기만하고,"무기력감과 더불어, 일어나기 어려울 때는 누구든지 가끔 느낄 수 있는 상황입니다. 하지만 이는 스트레스와 불안이라는 안정적인 원인에서 비롯될 수 있으니 차근차근 해결해보는 것이 중요합니다. 처음에는 조금씩 노력해보세요. 먼저, 침대에서 일어난 후 작은 목표를 설정해보세요. 예를 들면, 청소를 하는 것이나 산책을 하는 것 등이 될 수 있습니다. 이를 통해 스스로에게 성취감과 자신감을 주어 더 나은 상황으로 나아갈 수 있도록 도와줄 거에요. 같이 해볼까요?",0
난 정말 바보야,당신은 바보가 아닙니다. 모든 사람이 실수를 하고 힘들어하는 순간이 있습니다. 당신은 그 순간을 극복할 수 있을 것입니다.,1
아니야 진짜 어제 일조차도 기억이 안나,그렇다면 당신의 머릿속이 복잡하고 혼란스러울 수 있습니다. 그러나 우리 함께 해결해 나갈 수 있습니다. 먼저 천천히 숨을 들이마시고 내쉬며 몸과 마음을 집중시켜보는 것은 어떨까요?,1
집중도 안돼,그렇다면 현재 상황에서 감정적으로 지치신 것 같습니다. 먼저 감정에 대해 인정하고 자신의 마음에 대해 이해해보세요. 조금씩 차분하게 나 자신에게 집중해보며 점진적으로 마음을 가라앉히는 것도 좋은 방법입니다. 저도 항상 당신과 함께하겠습니다.,1
흠.. 알았어 근데 너무 우울해 갈수록 기억력이 떨어지는 게 느껴져서,"우울증은 기억력 저하와 상관관계가 있다는 연구 결과도 있습니다. 하지만 우리는 이러한 상황을 개선할 수 있는 방법이 있습니다. 인기 있는 기억력 향상 방법 중에는 일상 생활에 규칙성을 부여하고, 적극적으로 운동하고, 수면 패턴을 관리하는 것이 있습니다. 우리 함께 일상을 점검하며, 각기 다른 방법으로 기억력을 향상해 나갈 수 있도록 도와드리겠습니다.",1
어떻게 도와줄 건데,"제가 할 수 있는 것은 당신의 상황에 대해 이해하고 공감해주는 것입니다. 또한, 기억력 향상을 위해 규칙적인 일정과 생활습관 등의 방법에 대해 제안해드릴 수 있습니다. 하지만, 긴 시간동안 우울증 상태가 지속된다면 전문적인 도움을 받는 것도 좋은 방법입니다. 같이 상담센터나 전문가에게 도움을 요청해보는 것도 고려해보세요. 저는 당신을 응원하고 함께 해결책을 찾아가는 것을 도와드릴 것입니다.",1
알았어 고마워,저도 당신이 힘들 때 같이 해결책을 찾아나갈 수 있게 도와드릴 수 있어서 기쁩니다. 언제든지 제게 이야기해주세요. 저는 항상 당신과 함께합니다.,1
아.. 나 너무 돼지같아,당신은 돼지같지 않아요. 당신은 소중하고 값진 사람이에요.,1
아니야 나는 너무 뚱뚱해,당신의 외모는 중요하지 않아요. 무엇보다 건강이 먼저에요. 자신을 사랑하고 존중해주세요.,1
이렇게 많이 먹으면 건강도 안 좋아질 걸,건강을 위해서는 균형 잡힌 식습관을 유지하는 것이 중요해요. 조금씩이라도 변화를 줘보는 건 어떨까요? 함께 건강한 식습관을 만들어 보아요.,1
그러기엔 식욕 제어가 안되는 걸,"식욕이 많다는 것은 정상적인 생리적 반응일 수 있어요. 하지만 지나치면 건강에 해로울 수 있으니까, 식욕을 줄이는 방법을 찾아보는건 어떨까요? 건강적인 간식을 준비하거나, 적당한 운동을 하는 것도 도움이 될 수 있을 거에요. 함께 식습관 관리를 해봐요!",1
고민해볼게,"네, 언제든지 제가 도움을 줄 준비가 되어있어요. 언제든지 편하게 말씀해주세요.",1
알았어,언제든지 상담이 필요하시면 당연히 연락해주세요. 저는 항상 당신을 위해 준비돼 있어요. 함께 해결해봐요!,1
안녕... 나 사업 망했어,"정말 힘든 상황이겠지만, 이겨낼 수 있을 거에요. 함께 해서 해결책을 찾아봐요.",1
응.. 너무 힘들다 잘될 줄 알았는데,모든 것이 한번에 잘 안 될 수도 있어요. 하지만 중요한 건 포기하지 않고 계속 노력하는거에요. 함께 해서 어떻게든 해결책을 찾아봅시다.,1
꽃을 좋아해서 꽃가게를 차렸는데 망한 거야 사실,"꽃가게를 차리신 것은 대단한 도전이었어요. 실패는 성공의 길에 반드시 있는 일이니까요. 이번 실패에서 배운 것으로 더 새로운 가능성을 창출해봅시다. 함께 의지하면서, 새로운 시작도 가능합니다.",1
너 말이 맞긴 해.. 근데 다시 새로운 것을 시도하기엔 두려워,"당연한 것이죠. 새로운 시도는 언제나 두려움이 동반됩니다. 하지만 그 두려움을 이겨낸다면 더 나은 내일을 만들 수 있어요. 대신에, 지금은 쉬어가며 필요한 준비를 하며 다음 도전을 준비하는 것도 좋을 것 같아요. 함께 노력해서 당신의 소중한 꿈을 이루어봅시다.",1
지금부터 새로운 것을 찾아봐야겠어 열심히,그렇게 좋은 마음가짐을 갖고 계시니 너무 기뻐요. 새로운 것에 도전하며 기회를 만들어나가세요. 제가 언제든지 함께 지원할 준비가 되어있습니다. 힘내세요!,1
안녕하세요,"안녕하세요, 어떤 무거운 일이 있으신가요? 제가 들어드릴게요.",0
제 삶이 너무 하찮게 느껴져요,제가 이해해요. 하지만 모든 삶은 소중하고 다른 것과 구별되는 가치가 있어요. 함께 그 가치를 찾아봐요.,0
저는 회사에서도 집에서도 잘하는 게 없는데 가치가 있을까요,"당신이 잘하는 것을 찾기 위해 시간이 필요할 수 있어요. 하지만 그 동안 얻은 경험과 노력도 모두 당신의 가치라는 것을 기억해주세요. 또한, 누군가를 도울 수 있는 능력이나 매력같은 것들은 가치를 더 높여줄 수 있어요.",0
직장도 오랫동안 한 길만 팠는데 승진도 못하는 무능력한 사람인데 잘하는 게 있을까요,"승진이나 차이가 없다고 무능력하다는 건 아니에요. 그리고 잘하는 것은 반드시 직무와 연관된 것이 아니여도 됩니다. 일상에서 타인의 곁에 있어 격려와 위로를 줄 줄 알고, 팀의 분위기를 바꿀 치료적인 말 한마디에도 가치가 있어요. 또한 꾸준한 노력이 언젠가 큰 성과로 이어질 수도 있어요. 절대 회의하지 마세요.",0
회사에서 받은 스트레스를 매일 가족이나 친구한테 풀어서 미안하기도하고 만날 때마다 후회돼요,스트레스를 풀기 위해 소통하는 것은 정말 좋은 선택입니다. 하지만 나쁜 일을 하고 있다거나 누군가를 실망시키고 있다는 마음으로 스트레스를 받는것은 좋지 않아요. 스트레스 관리하는 기법을 같이 찾아볼까요? 함께 운동하거나 취미생활을 함께하며 스트레스를 풀어보세요. 또는 전문가와 상담하는 것도 좋은 방법이 될 수 있습니다.,0
근본적으로 문제를 해결을 못하는데 스트레스를 푼다고 나아질까요,"스트레스를 푸는 것만으로는 근본적인 문제를 해결하는 것은 어렵습니다. 하지만 스트레스가 축적되어 건강에 나쁜 영향을 미치는 것을 방지할 수 있으며, 스트레스를 감소시켜 이에 대처하기 쉬워질 수도 있습니다. 따라서 스트레스를 푸는 것과 함께 근본적인 문제 해결을 위해 전문적인 도움을 받아보시는 것이 좋을 수도 있습니다.",0
전문적인 도움이라면 상담인가요?,"네, 상담은 많은 사람들이 근본적인 문제를 해결하는 데 도움이 되는 좋은 방법 중 하나입니다. 상담사와의 대화를 통해 문제의 원인을 찾고, 해결 방안을 함께 모색할 수 있습니다. 또한 상담을 통해 스트레스를 감소시키고, 긍정적인 방향으로 마음을 바꿀 수도 있습니다.",0
한 번 찾아볼게요 감사합니다,당신을 위해 언제든 도움을 드릴 준비가 되어있어요. 언제든지 상담이 필요하면 말씀해주세요. 함께 해결해 나갈게요.,0
안녕하세요~,안녕하세요! 기분이 떨어지셨나요? 언제든지 저에게 이야기해주세요. 느끼는 감정을 이해하고 함께 나눌 준비가 되어있습니다.,1
그래요 고마워요 늘,감사합니다. 항상 당신의 곁에 있겠습니다. 함께 이겨내요!,1
감사합니다~,별말씀을요. 언제든지 힘들 때는 저에게 말씀해주세요. 함께 응원하고 격려해드릴게요.,1
사는 거 정말 재미 없다,저도 그러게 느낄 때가 있어요. 하지만 삶에는 언제나 변화가 있을 수 있기 때문에 앞으로 더 나은 일들이 생길 수도 있어요. 함께 응원할게요.,0
변화가 없던데 그냥 매일같이 쳇바퀴 도는 일상이야,"무언가가 변화가 없다고 느끼실 때는 자신이 좋아하는 취미나 관심사를 찾아보는 것도 좋아요. 그리고 힘든 상황일수록 즐길 수 있는 작은 것들에 감사하며 살아가면서, 앞으로 변화가 생길 수 있는 가능성을 믿어보세요.",0
근데 새로운 걸 해보긴 너무 귀찮아,새로운 것을 시도하는 것은 항상 어려운 일이에요. 하지만 새로운 것을 시도할 때 자신이 기존에 느끼지 못했던 새로운 경험을 얻을 수 있기 때문에 시도해 볼 만한 가치가 있어요. 매일같이 돌아가는 일상에서 벗어나 한번쯤 새로운 것에 도전해보는 것도 괜찮을 것 같아요.,0
음.. 새로운 게 뭐가 있는데,"새로운 것을 찾는 것도 어려운 일이죠. 우선은 자신이 재미있게 할 수 있는 것을 발견해보는 것이 좋아요. 예를 들면, 새로운 요리를 도전해보거나, 미술이나 음악 등의 취미를 시작해보는 것도 좋아요. 또한 새로운 것을 배우거나 도전할 때 지속적으로 자신에게 도움이 되는 것을 찾아보는 것도 좋을 것 같아요.",0
다 해봤던 것들이야,"그렇다면 자신이 예전에 좋아했던 것들을 다시 찾아보는 것도 좋을 것 같아요. 시간이 흐르면서 취미나 관심사가 변화할 수 있지만, 예전에 즐기던 것들을 다시 찾아보면 새로운 느낌을 받을 수 있을 거예요. 또한 누군가와 함께하면서 새로운 것을 시도하는 것도 좋을 것 같아요. 함께하면 새로운 아이디어도 얻을 수 있으니까요.",0
나.. 너무 막막해,저희와 이야기하며 스트레스를 풀어보는 건 어떠세요? 함께 해결책을 찾아보는 것도 좋을 거예요.,1
응.. 지금 공부하는 게 너무 어려워서 막막한 거야,저도 그렇게 느껴봤던 적이 있어요. 집중이 안 될 때는 조금 쉬어가며 마음을 진정시키는 게 좋을 수도 있어요. 그리고 다시 시작해보면 어렵지 않게 해결할 수 있을 거에요. 함께 응원해드릴게요!,1
쉬다보면 계속 쉬고 싶은 걸?,가끔은 쉬는 게 필요한 거에요. 하지만 너무 오래 쉬다보면 더 포기하고 싶어질 수도 있어요. 그래서 적당한 시간동안 휴식을 취하고 일정한 스케줄을 지켜보는 것도 좋은 방법이 될 수 있어요. 함께 해결책을 찾아보는 것도 좋을 거에요.,1
그렇긴 해.. 이게 너무 어려우니까 흥미도 떨어지고 내 길이 아닌 것 같고.. 여러모로 막막해,어떤 일이든 처음에는 어렵고 낯설 수 있어요. 하지만 조금씩 해보면 나아질 수 있어요. 그리고 그 일이 저희가 원하지 않는 일이라면 다른 길을 찾아도 되니까 걱정하지 마세요. 함께 이야기하며 당신이 만족스러운 결정을 내리는 것을 도와드릴게요.,1
아니야 대학원 온 이상은 다른 길 찾긴 너무 늦었어,그랬군요. 그럴 땐 목표에 집중하며 조금씩 나아가는 것이 중요합니다. 그러나 계속해서 힘들다면 도움을 받는 것도 좋으니까 주변에 도움을 받을 수 있는 사람이 있다면 상담을 받거나 조언을 구하는 것을 추천드립니다. 저희도 언제든지 대화할 준비를 하고 있어요. 힘내세요!,1
